location_id,user_id,longitude,latitude,start_date,start_time,duration,weekday,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5,,,,,,,,
,2,121.5438465,25.05202312,2020-08-20,12:35,,5,Nanjing Fuxing Station,梅花廳(粵菜飲茶) - 兄弟大飯店,Brother Hotel,HONG KONG tea stalls (Nanjing flagship store),恆逸教育訓練中心,transit_station,restaurant,lodging,restaurant,point_of_interest,,,,,,,,
,2,121.5438465,25.05202312,2020-08-20,12:35,,5,Nanjing Fuxing Station,梅花廳(粵菜飲茶) - 兄弟大飯店,Brother Hotel,HONG KONG tea stalls (Nanjing flagship store),恆逸教育訓練中心,transit_station,restaurant,lodging,restaurant,point_of_interest,,,,,,,,
,2,121.5435392,25.02934153,2020-08-20,12:40,,5,Taipei Fullerton Hotel-Fuxing South,CUPETIT 卡柏蒂法式手工喜餅,臺北市立大安高級工業職業學校,小樽早餐店,Da-An Vocational High School,lodging,bakery,secondary_school,restaurant,transit_station,,,,,,,,
,2,121.5594072,25.01775882,2020-08-20,12:46,,5,Linguang Station,7-ELEVEN麟運門市,Taiwan Insect Museum,和記豆漿店,McDonald's,subway_station,convenience_store,museum,restaurant,restaurant,,,,,,,,
,2,121.5585251,24.99861145,2020-08-20,12:51,,5,85度c,Louisa Coffee 路易．莎咖啡(萬芳醫院店),Cut髮院 百元剪髮專門店 萬芳店,Wanfang Hospital,Wanfang Hospital Station,cafe,cafe,beauty_salon,hospital,subway_station,,,,,,,,
,2,121.5793655,24.99832418,2020-08-20,12:56,,5,Taipei Zoo Station,Taipei Zoo,木柵動物園停車場（河川高灘地）,葡而飛街角複合式簡餐,Taipei Zoo Formosan Animal Area,subway_station,zoo,parking,restaurant,zoo,,,,,,,,
,2,121.5737204,24.99718499,2020-08-20,13:01,,5,Mai Hsiang Yuen Handmade Pizza,10NT$ Self Serve Car Wash,上賀建材五金,Muzha Vocational High School,7-ELEVEN 博嘉門市,restaurant,car_wash,hardware_store,school,convenience_store,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,13:06,,5,米塔義式廚房-政大店,Louisa Coffee,Starbucks,Juicy Bun Burger 就是棒 美式餐廳 政大店,7-Eleven,restaurant,cafe,cafe,restaurant,convenience_store,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,13:50,,5,NCCU College of Commerce,National Chengchi University,國立政治大學商學院圖書分館,Hilife,NCCU International MBA,university,university,library,convenience_store,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:20,,5,NCCU College of Commerce,National Chengchi University,國立政治大學商學院圖書分館,Hilife,NCCU International MBA,university,university,library,convenience_store,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:21,,5,National Chengchi University,NCCU College of Commerce,Hilife,國立政治大學商學院圖書分館,NCCU Main Library,university,university,convenience_store,library,library,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:22,,5,NCCU College of Commerce,National Chengchi University,Hilife,國立政治大學商學院圖書分館,NCCU International MBA,university,university,convenience_store,library,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:42,,5,National Chengchi University,NCCU College of Commerce,NCCU Main Library,Hilife,NCCU International MBA,university,university,library,convenience_store,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:49,,5,NCCU College of Commerce,National Chengchi University,國立政治大學商學院圖書分館,Hilife,NCCU International MBA,university,university,library,convenience_store,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:51,,5,National Chengchi University,NCCU College of Commerce,NCCU Main Library,Hilife,國立政治大學商學院圖書分館,university,university,library,convenience_store,library,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,14:53,,5,National Chengchi University,NCCU College of Commerce,Hilife,國立政治大學商學院圖書分館,NCCU Main Library,university,university,convenience_store,library,library,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,15:00,,5,National Chengchi University,NCCU College of Commerce,Hilife,國立政治大學商學院圖書分館,NCCU International MBA,university,university,convenience_store,library,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,15:04,,5,National Chengchi University,NCCU College of Commerce,NCCU Main Library,NCCU International MBA,政大,university,university,library,point_of_interest,school,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,15:52,,5,National Chengchi University,NCCU College of Commerce,Hilife,NCCU Main Library,國立政治大學商學院圖書分館,university,university,convenience_store,library,library,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,15:58,,5,NCCU College of Commerce,National Chengchi University,Hilife,國立政治大學商學院圖書分館,NCCU International MBA,university,university,convenience_store,library,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,15:58,,5,National Chengchi University,NCCU College of Commerce,Hilife,國立政治大學商學院圖書分館,NCCU International MBA,university,university,convenience_store,library,point_of_interest,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,16:13,,5,National Chengchi University,NCCU College of Commerce,NCCU Main Library,Hilife,國立政治大學商學院圖書分館,university,university,library,convenience_store,library,,,,,,,,
,2,121.5757804,24.98775648,2020-08-20,16:13,,5,NCCU College of Commerce,National Chengchi University,Hilife,國立政治大學商學院圖書分館,NCCU International MBA,university,university,convenience_store,library,point_of_interest,,,,,,,,
,2,121.5737853,24.99249128,2020-08-20,18:04,,5,戰略新光店(駭客),仲工車業行,桌遊星球-政大店/文山區桌遊店/台北桌遊/文山區室內活動/文山區休閒桌遊/文山區室內活動桌遊推薦/文山區下雨天行程桌遊,HOYDEA,艾蜜莉寵物美容,point_of_interest,car_repair,cafe,bar,point_of_interest,,,,,,,,
,2,121.5779881,25.00137911,2020-08-20,18:12,,5,土地公嶺古道,Fude Cemetery,Tennis Court,Fude Cemetery Area 14,Fude Cemetery,tourist_attraction,transit_station,transit_station,transit_station,transit_station,,,,,,,,
,2,121.5779881,25.00137911,2020-08-20,18:21,,5,Tennis Court,Xiangshan Station,象山步道,Amber's Cafe,Xiangshan Station,transit_station,point_of_interest,point_of_interest,cafe,point_of_interest,,,,,,,,
