location_id,longitude,latitude,start_date,start_time,weekday,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,2020/07/22,11:00,4,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,2020/07/23,12:00,5,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,2020/07/24,"13:00
",6,,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.56294857325,25.0873074966453,2020-09-10,00:25,5,0.0,-1.0,軟訊資訊有限公司,Family Mart,阿華食堂,7-Eleven,小鳥不吃肉,electronics_store,convenience_store,restaurant,convenience_store,restaurant
5,121.56294857325,25.0873074966453,2020-09-10,00:25,5,0.0,-1.0,軟訊資訊有限公司,Family Mart,阿華食堂,7-Eleven,小鳥不吃肉,electronics_store,convenience_store,restaurant,convenience_store,restaurant
6,121.56294857325,25.0873074966453,2020-09-10,00:25,5,0.0,-1.0,軟訊資訊有限公司,Family Mart,阿華食堂,7-Eleven,小鳥不吃肉,electronics_store,convenience_store,restaurant,convenience_store,restaurant
7,121.56294857325,25.0873074966453,2020-09-10,00:25,5,0.0,-1.0,軟訊資訊有限公司,Family Mart,阿華食堂,7-Eleven,小鳥不吃肉,electronics_store,convenience_store,restaurant,convenience_store,restaurant
8,121.562924856128,25.087244481762,2020-09-10,10:17,5,0.0,-1.0,軟訊資訊有限公司,阿華食堂,Family Mart,赫里翁 - 接待中心,香香堡速食專賣店,electronics_store,restaurant,convenience_store,real_estate_agency,restaurant
9,121.562924856128,25.087244481762,2020-09-10,10:17,5,0.0,-1.0,軟訊資訊有限公司,阿華食堂,Family Mart,赫里翁 - 接待中心,香香堡速食專賣店,electronics_store,restaurant,convenience_store,real_estate_agency,restaurant
10,121.562924856128,25.087244481762,2020-09-10,10:17,5,0.0,-1.0,軟訊資訊有限公司,阿華食堂,Family Mart,赫里翁 - 接待中心,香香堡速食專賣店,electronics_store,restaurant,convenience_store,real_estate_agency,restaurant
11,121.562924856128,25.087244481762,2020-09-10,10:17,5,0.0,-1.0,軟訊資訊有限公司,阿華食堂,Family Mart,赫里翁 - 接待中心,香香堡速食專賣店,electronics_store,restaurant,convenience_store,real_estate_agency,restaurant
12,121.563032898136,25.0872157122567,2020-09-10,10:38,5,0.0,-1.0,阿華食堂,軟訊資訊有限公司,Family Mart,全聯福利中心Pxmart 內湖文湖,弁當工場 AI智能烤肉飯 文湖店,restaurant,electronics_store,convenience_store,supermarket,restaurant
13,121.563032898136,25.0872157122567,2020-09-10,10:38,5,0.0,-1.0,阿華食堂,軟訊資訊有限公司,Family Mart,全聯福利中心Pxmart 內湖文湖,弁當工場 AI智能烤肉飯 文湖店,restaurant,electronics_store,convenience_store,supermarket,restaurant
14,121.563032898136,25.0872157122567,2020-09-10,10:38,5,0.0,-1.0,阿華食堂,軟訊資訊有限公司,Family Mart,全聯福利中心Pxmart 內湖文湖,弁當工場 AI智能烤肉飯 文湖店,restaurant,electronics_store,convenience_store,supermarket,restaurant
15,121.563032898136,25.0872157122567,2020-09-10,10:38,5,0.0,-1.0,阿華食堂,軟訊資訊有限公司,Family Mart,全聯福利中心Pxmart 內湖文湖,弁當工場 AI智能烤肉飯 文湖店,restaurant,electronics_store,convenience_store,supermarket,restaurant
