location_id,longitude,latitude,start_date,start_time,weekday,duration,speed,name1,name2,name3,name4,name5,category1,category2,category3,category4,category5
1,121.576,24.986,2020/07/22,11:00,4,,,myhome,myhome1,myhome2,myhome3,myhome4,c1,c2,c3,c4,c5
2,121.443,24.433,2020/07/23,12:00,5,,,apple,apple1,apple2,apple3,apple4,c1,c2,c3,c4,c5
3,121.123,24.765,2020/07/24,"13:00
",6,,,banana,banana1,banana2,banana3,banana4,c1,c2,c3,c4,c5
4,121.522158614471,25.0627727098169,2020-09-08,18:00,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,威成文具批發,最佳風情國際婚紗,cafe,restaurant,cafe,point_of_interest,point_of_interest
5,121.522158614471,25.0627727098169,2020-09-08,18:00,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,威成文具批發,最佳風情國際婚紗,cafe,restaurant,cafe,point_of_interest,point_of_interest
6,121.522158614471,25.0627727098169,2020-09-08,18:00,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,威成文具批發,最佳風情國際婚紗,cafe,restaurant,cafe,point_of_interest,point_of_interest
7,121.522198901567,25.0627773397541,2020-09-08,18:08,3,0.0,-1.0,Minquan Zhongshan Rd. Intersection,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,bus_station,cafe,restaurant,cafe,point_of_interest
8,121.522198901567,25.0627773397541,2020-09-08,18:08,3,0.0,-1.0,Minquan Zhongshan Rd. Intersection,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,bus_station,cafe,restaurant,cafe,point_of_interest
9,121.522198901567,25.0627773397541,2020-09-08,18:08,3,0.0,-1.0,Minquan Zhongshan Rd. Intersection,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,bus_station,cafe,restaurant,cafe,point_of_interest
10,121.522114319864,25.062789534992,2020-09-08,18:19,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Minquan Zhongshan Rd. Intersection,Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,cafe,bus_station,restaurant,cafe,point_of_interest
11,121.522114319864,25.062789534992,2020-09-08,18:19,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Minquan Zhongshan Rd. Intersection,Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,cafe,bus_station,restaurant,cafe,point_of_interest
12,121.522114319864,25.062789534992,2020-09-08,18:19,3,0.0,-1.0,LOUISA COFFEE 路易莎咖啡 (民權西門市),Minquan Zhongshan Rd. Intersection,Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,cafe,bus_station,restaurant,cafe,point_of_interest
13,121.522213152746,25.0627666865957,2020-09-08,18:34,3,0.0,-1.0,Minquan Zhongshan Rd. Intersection,LOUISA COFFEE 路易莎咖啡 (民權西門市),Jessie Wa Brunch. Coffee,Artco De Cafe,最佳風情國際婚紗,bus_station,cafe,restaurant,cafe,point_of_interest
